[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:23.540, imei=800000000000006, msgTime=2017-03-06 16:18:55.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:17.040, imei=800000000000039, msgTime=2017-03-06 16:18:48.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:19.571, imei=800000000000017, msgTime=2017-03-06 16:18:21.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:06.196, imei=800000000000029, msgTime=2017-03-06 16:18:38.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:14.415, imei=800000000000026, msgTime=2017-03-06 16:18:46.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:13.618, imei=800000000000023, msgTime=2017-03-06 16:18:45.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:18:57.680, imei=800000000000042, msgTime=2017-03-06 16:18:29.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:04.680, imei=800000000000008, msgTime=2017-03-06 16:18:36.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:10.711, imei=800000000000044, msgTime=2017-03-06 16:18:42.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:15.618, imei=800000000000040, msgTime=2017-03-06 16:18:47.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:16.383, imei=800000000000036, msgTime=2017-03-06 16:18:48.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:23.024, imei=800000000000038, msgTime=2017-03-06 16:18:54.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:08.102, imei=800000000000021, msgTime=2017-03-06 16:18:40.246, pgnId=13, listItem={72=1, 73=0}]
