[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:06.461, imei=800000000000046, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:16.993, imei=800000000000047, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:03.961, imei=800000000000041, msgTime=2017-03-06 16:18:46.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:13.852, imei=800000000000030, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:06.352, imei=800000000000016, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:09.508, imei=800000000000017, msgTime=2017-03-06 16:18:52.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:13.368, imei=800000000000005, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:18.805, imei=800000000000027, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:25.040, imei=800000000000038, msgTime=2017-03-06 16:18:37.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:20.149, imei=800000000000004, msgTime=2017-03-06 16:19:03.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:26.008, imei=800000000000035, msgTime=2017-03-06 16:19:08.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:10.680, imei=800000000000007, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:10.680, imei=800000000000014, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:23.711, imei=800000000000037, msgTime=2017-03-06 16:18:36.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:32.118, imei=800000000000045, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:19.008, imei=800000000000038, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:18.571, imei=800000000000046, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:34.993, imei=800000000000010, msgTime=2017-03-06 16:18:47.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:18]WorkStatu [rcvTime=2017-03-06 16:19:53.086, imei=800000000000014, msgTime=2017-03-06 16:19:36.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:18]WorkStatu [rcvTime=2017-03-06 16:19:08.102, imei=800000000000021, msgTime=2017-03-06 16:18:51.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:19]WorkStatu [rcvTime=2017-03-06 16:19:52.571, imei=800000000000015, msgTime=2017-03-06 16:19:35.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:19]WorkStatu [rcvTime=2017-03-06 16:19:56.024, imei=800000000000040, msgTime=2017-03-06 16:19:08.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:21]WorkStatu [rcvTime=2017-03-06 16:19:12.024, imei=800000000000041, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:24.618, imei=800000000000048, msgTime=2017-03-06 16:19:07.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:15.040, imei=800000000000039, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:13.649, imei=800000000000028, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:16.258, imei=800000000000050, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:11.430, imei=800000000000006, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:25]WorkStatu [rcvTime=2017-03-06 16:19:19.758, imei=800000000000020, msgTime=2017-03-06 16:19:02.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:25]WorkStatu [rcvTime=2017-03-06 16:19:32.946, imei=800000000000027, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:25]WorkStatu [rcvTime=2017-03-06 16:19:25.805, imei=800000000000020, msgTime=2017-03-06 16:19:08.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:27]WorkStatu [rcvTime=2017-03-06 16:19:26.633, imei=800000000000048, msgTime=2017-03-06 16:19:09.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:27]WorkStatu [rcvTime=2017-03-06 16:19:24.540, imei=800000000000012, msgTime=2017-03-06 16:18:37.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:28]WorkStatu [rcvTime=2017-03-06 16:19:26.227, imei=800000000000002, msgTime=2017-03-06 16:19:09.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:28]WorkStatu [rcvTime=2017-03-06 16:19:26.555, imei=800000000000016, msgTime=2017-03-06 16:19:09.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:28]WorkStatu [rcvTime=2017-03-06 16:19:20.790, imei=800000000000007, msgTime=2017-03-06 16:19:03.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:29]WorkStatu [rcvTime=2017-03-06 16:19:32.321, imei=800000000000002, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:30]WorkStatu [rcvTime=2017-03-06 16:19:30.696, imei=800000000000046, msgTime=2017-03-06 16:19:13.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:23.540, imei=800000000000006, msgTime=2017-03-06 16:19:06.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:24.821, imei=800000000000007, msgTime=2017-03-06 16:19:07.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:22.430, imei=800000000000036, msgTime=2017-03-06 16:19:05.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:35.649, imei=800000000000006, msgTime=2017-03-06 16:19:18.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:17.040, imei=800000000000039, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:14.149, imei=800000000000033, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:10.711, imei=800000000000044, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:31]WorkStatu [rcvTime=2017-03-06 16:19:30.102, imei=800000000000018, msgTime=2017-03-06 16:18:43.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:19:22.211, imei=800000000000021, msgTime=2017-03-06 16:19:05.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:32]WorkStatu [rcvTime=2017-03-06 16:19:02.133, imei=800000000000029, msgTime=2017-03-06 16:18:45.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:06.743, imei=800000000000010, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:33]WorkStatu [rcvTime=2017-03-06 16:19:24.821, imei=800000000000009, msgTime=2017-03-06 16:19:07.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:34]WorkStatu [rcvTime=2017-03-06 16:19:33.008, imei=800000000000013, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:35]WorkStatu [rcvTime=2017-03-06 16:19:06.196, imei=800000000000029, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:35]WorkStatu [rcvTime=2017-03-06 16:19:21.024, imei=800000000000038, msgTime=2017-03-06 16:19:03.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:35]WorkStatu [rcvTime=2017-03-06 16:19:22.868, imei=800000000000008, msgTime=2017-03-06 16:19:05.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:19:23.743, imei=800000000000023, msgTime=2017-03-06 16:19:06.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:19:19.571, imei=800000000000017, msgTime=2017-03-06 16:19:02.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:19:36.649, imei=800000000000049, msgTime=2017-03-06 16:19:19.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:36]WorkStatu [rcvTime=2017-03-06 16:19:26.852, imei=800000000000007, msgTime=2017-03-06 16:19:09.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:03.383, imei=800000000000011, msgTime=2017-03-06 16:18:46.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:18.086, imei=800000000000025, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:27.821, imei=800000000000020, msgTime=2017-03-06 16:19:10.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:38]WorkStatu [rcvTime=2017-03-06 16:19:33.883, imei=800000000000031, msgTime=2017-03-06 16:19:16.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:38]WorkStatu [rcvTime=2017-03-06 16:19:43.102, imei=800000000000044, msgTime=2017-03-06 16:18:56.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:26.930, imei=800000000000008, msgTime=2017-03-06 16:19:09.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:35.883, imei=800000000000023, msgTime=2017-03-06 16:19:18.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:39.211, imei=800000000000039, msgTime=2017-03-06 16:19:22.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:14.415, imei=800000000000026, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:34.680, imei=800000000000026, msgTime=2017-03-06 16:19:17.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:40]WorkStatu [rcvTime=2017-03-06 16:19:38.665, imei=800000000000012, msgTime=2017-03-06 16:19:21.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:40]WorkStatu [rcvTime=2017-03-06 16:19:24.008, imei=800000000000034, msgTime=2017-03-06 16:19:06.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:41]WorkStatu [rcvTime=2017-03-06 16:19:38.774, imei=800000000000048, msgTime=2017-03-06 16:19:21.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:42]WorkStatu [rcvTime=2017-03-06 16:19:30.102, imei=800000000000018, msgTime=2017-03-06 16:19:13.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:42]WorkStatu [rcvTime=2017-03-06 16:19:34.399, imei=800000000000050, msgTime=2017-03-06 16:19:17.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:39.024, imei=800000000000008, msgTime=2017-03-06 16:19:21.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:22.180, imei=800000000000004, msgTime=2017-03-06 16:19:05.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:45]WorkStatu [rcvTime=2017-03-06 16:19:44.102, imei=800000000000035, msgTime=2017-03-06 16:19:27.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:45]WorkStatu [rcvTime=2017-03-06 16:19:18.086, imei=800000000000041, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:46]WorkStatu [rcvTime=2017-03-06 16:19:43.102, imei=800000000000010, msgTime=2017-03-06 16:18:56.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:46]WorkStatu [rcvTime=2017-03-06 16:19:46.118, imei=800000000000042, msgTime=2017-03-06 16:19:29.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:46]WorkStatu [rcvTime=2017-03-06 16:19:43.196, imei=800000000000038, msgTime=2017-03-06 16:19:26.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:47]WorkStatu [rcvTime=2017-03-06 16:19:29.774, imei=800000000000040, msgTime=2017-03-06 16:19:12.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:56.055, imei=800000000000020, msgTime=2017-03-06 16:19:38.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:44.993, imei=800000000000007, msgTime=2017-03-06 16:19:27.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:59.962, imei=800000000000005, msgTime=2017-03-06 16:19:42.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:39.696, imei=800000000000017, msgTime=2017-03-06 16:19:22.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:48]WorkStatu [rcvTime=2017-03-06 16:19:41.711, imei=800000000000017, msgTime=2017-03-06 16:19:24.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:49]WorkStatu [rcvTime=2017-03-06 16:19:52.790, imei=800000000000049, msgTime=2017-03-06 16:19:35.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:49]WorkStatu [rcvTime=2017-03-06 16:19:43.102, imei=800000000000044, msgTime=2017-03-06 16:19:26.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:50]WorkStatu [rcvTime=2017-03-06 16:19:50.024, imei=800000000000037, msgTime=2017-03-06 16:19:02.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:50]WorkStatu [rcvTime=2017-03-06 16:19:25.196, imei=800000000000003, msgTime=2017-03-06 16:18:38.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:51]WorkStatu [rcvTime=2017-03-06 16:19:50.774, imei=800000000000029, msgTime=2017-03-06 16:19:33.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:51]WorkStatu [rcvTime=2017-03-06 16:20:03.977, imei=800000000000017, msgTime=2017-03-06 16:19:46.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:51]WorkStatu [rcvTime=2017-03-06 16:19:32.696, imei=800000000000046, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:52]WorkStatu [rcvTime=2017-03-06 16:19:38.586, imei=800000000000036, msgTime=2017-03-06 16:19:21.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:53]WorkStatu [rcvTime=2017-03-06 16:19:44.493, imei=800000000000004, msgTime=2017-03-06 16:19:27.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:53]WorkStatu [rcvTime=2017-03-06 16:19:39.665, imei=800000000000006, msgTime=2017-03-06 16:19:22.990, pgnId=14, listItem={74=1}]
